Sample Id,MecA_read_Counts,MecA_Coverage,Staph_read_Counts,Staph_Coverage,CC_8_8,CC_239_239,CC_1_1,CC_5_5,CC_8_8_2,CC_5_5_2,MLST_93,CC_5_5_3,CC_59_59,CC_30_36,CC_8_72,CC_8_8_3,CC_151_151,CC_8_254,CC_398_398,CC_30_30,CC_75_1850,CC_5_5_4,CC_133_133,CC_1021,CC_121,CC_123,CC_130,CC_15,CC_20,CC_2198,CC_22,CC_2361,CC_291,CC_425,CC_45,CC_49,CC_50,CC_522,CC_700,CC_779,CC_78,CC_80,CC_97,CC_9
SRR1748910,0,0,795,0.027948965,0,0.041364067,0,0,0,0,0,0,0.273444901,0,0,0,0,0,0,0.616987686,0,0,0,0,0.068203347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748939,0,0,1164,0.040921503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748943,0,0,742,0.0260857,0,0,0,0,0,0.414386355,0,0,0,0.585613645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748950,0,0,1085,0.038144185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748957,0,0,803,0.028230212,0,0,0.6,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748961,0,0,821,0.028863019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748966,0,0,1459,0.051292503,0,0,0,0,0,0,0,0.710732054,0,0,0.289267946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748969,0,0,816,0.028687239,0,0,0,0,0,0,0,0,0.113821138,0,0,0,0,0,0,0,0.089430894,0,0,0,0,0,0.31300813,0,0,0,0,0,0,0,0,0,0.170731707,0,0,0,0,0.31300813,0,0
SRR1749014,0,0,1220,0.042890235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053278689,0,0,0,0,0,0,0,0,0,0.147540984,0.159836066,0,0,0,0,0,0,0,0.639344262,0,0,0,0,0
SRR1749027,0,0,898,0.031570026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037800687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962199313,0,0
SRR1749030,0,0,1144,0.040218384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749055,0,0,835,0.029355202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305555556,0,0.652777778,0,0,0,0,0,0,0
SRR1749056,0,0,1465,0.051503438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152759932,0.046678774,0.003418206,0.037214684,0,0,0,0,0,0,0,0,0,0.175539936,0.162556568,0,0.421831899
