"Sample.ID" "Description" "Latitude" "Logitude" "Run" "CC_1" "CC_5" "CC_8" "CC_9" "CC_15" "CC_20" "CC_22" "CC_30" "CC_45" "CC_49" "CC_50" "CC_59" "CC_72" "CC_75" "CC_78" "CC_80" "CC_93" "CC_97" "CC_121" "CC_123" "CC_130" "CC_133" "CC_151" "CC_239" "CC_291" "CC_398" "CC_425" "CC_522" "CC_700" "CC_779" "CC_1021" "CC_2198" "CC_2361"
"74" "P00540" "Wilson Av" "40.688764" "-73.904046" "SRR1749124" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10989011 0 0 0 0 0 0.494505495 0 0 0.395604396 0 0 0 0 0 0 0 0 0 0
"75" "P00542" "L Train " "40.688734" "-73.904119" "SRR1749126" 0 0 0.980756392 0 0 0 0 0 0.002952397 0 0 0 0 0 0 0 0 0 0 0.014011481 0 0 0.002279729 0 0 0 0 0 0 0 0 0 0
"76" "P00570" "3 Train" "40.704204" "-73.999658" "SRR1749154" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"77" "P00577" "Grand Central-42 St" "40.751776" "-73.976848" "SRR1749161" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"78" "P00587" "Astor Place" "40.730054" "-73.99107" "SRR1749171" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"79" "P00591" "Spring St" "40.722301" "-73.997141" "SRR1749175" 0 0 0 0.075361342 0 0 0 0.661042381 0.153815532 0 0 0 0 0.034419402 0 0 0 0.075361342 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"80" "P00594" "6 Train" "40.721697" "-73.994265" "SRR1749178" 0 0.013355444 0 0 0 0 0 0 0 0 0 0 0.979608511 0 0 0 0 0 0 0 0 0 0.002097776 0 0 0 0 0 0.002278415 0 0.002659854 0 0
"81" "P00598" "Lexington Av/59 St" "40.762526" "-73.967967" "SRR1749182" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"82" "P00599" "Lexington Av/59 St" "40.762526" "-73.967967" "SRR1749183" 0.5 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0
"83" "P00652" "72nd St" "40.775594" "-73.97641" "SRR1749236" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"84" "P00661" "3 Train" "40.82388" "-73.93647" "SRR1749245" 0.171716009 0 0.130209266 0 0.106592107 0 0.013415319 0 0 0 0 0 0.202066233 0 0.068193602 0.08606867 0 0.127066799 0 0 0 0 0 0 0 0 0 0 0 0.094671995 0 0 0
"85" "P00662" "3 Train" "40.82388" "-73.93647" "SRR1749246" 0 0 0 0 0 0 0 0 0.153846154 0.326923077 0 0 0 0 0 0 0 0 0 0 0 0 0.480769231 0 0 0 0 0 0 0 0 0.038461538 0
"86" "P00671" "2 Train" "40.807754" "-73.945495" "SRR1749255" 0 0 0 0 0 0 0.184656285 0.147286522 0.069027565 0 0.053540029 0 0 0.22532304 0 0 0 0 0 0 0.043236746 0 0.05768972 0 0 0 0.152932774 0 0.066307319 0 0 0 0
"87" "P00684" "86 St" "40.788644" "-73.976218" "SRR1749268" 0 0 0.8 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"88" "P00695" "157 St" "40.834041" "-73.94489" "SRR1749279" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"89" "P00743" "E Train" "40.712582" "-74.009781" "SRR1749327" 0 0 0.967838548 0.018944201 0 0 0.002782034 0 0 0 0 0.010435218 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"90" "P00748" "4 Train" "40.704817" "-74.014065" "SRR1749332" 0 0 0.972517556 0 0 6.62e-05 0 0 0.025274731 0 0 0 0 0.002141514 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"91" "P00753" "5 Av-53 St" "40.760167" "-73.975224" "SRR1749336" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"92" "P00758" "L Train " "40.733551" "-73.987942" "SRR1749341" 0 0 0 0 0 0 0 0 0.941925219 0.058074781 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"93" "P00761" "1 Av" "40.730953" "-73.981628" "SRR1749344" 0 0 0.774193548 0 0 0 0 0 0.096774194 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.129032258 0 0 0 0
"94" "P00762" "1 Av" "40.730953" "-73.981628" "SRR1749345" 0 0 0 0 0.285329945 0 0 0 0 0.022473061 0 0 0 0 0.68470698 0 0.004066332 0 0 0 0 0 0 0 0 0 0 0.003423681 0 0 0 0 0
"95" "P00764" "M Train " "40.718579" "-73.986959" "SRR1749347" 0 0 0 0.401294498 0 0 0 0.246494067 0 0 0.067961165 0 0 0 0 0 0.012405609 0 0 0 0 0 0.116504854 0 0 0 0 0 0.155339806 0 0 0 0
"96" "P00778" "47-50 Sts Rockefeller Center" "40.758663" "-73.981329" "SRR1749361" 0.083673075 0.021890433 0 0.071135365 0.047767402 0.032892373 0 0.664104403 0 0 0 0 0.058020298 0 0 0.020516651 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"97" "P00779" "7 Av" "40.762862" "-73.981637" "SRR1749362" 0 0 0 0 0 0 0 0 0.089282163 0 0 0 0.83493831 0 0 0 0 0 0 0 0 0 0 0 0 0.075779526 0 0 0 0 0 0 0
"98" "P00783" "Avenue U" "40.596063" "-73.973357" "SRR1749366" 0 0 0.097201245 0 0 0 0 0.525556904 0 0 0 0 0 0.082761386 0 0 0 0 0 0 0 0 0.050639625 0 0 0 0 0 0.24384084 0 0 0 0
"99" "P00786" "116 St" "40.805085" "-73.954882" "SRR1749369" 0 0 0 0 0 0 0 0 0 0 0 0 0.013733532 0 0 0 0 0 0 0 0 0 0 0 0 0.972649928 0 0 0 0 0 0 0.01361654
"100" "P00791" "155 St" "40.830135" "-73.938209" "SRR1749374" 0 0 0 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"101" "P00792" "155 St" "40.830135" "-73.938209" "SRR1749375" 0 0 0 0 0 0.001144015 0.016938468 0 0.858653308 0.002458106 0.014068141 0 0 0 0 0 0.004526085 0 0 0.010606508 0 0 0.013544013 0 0 0.054868662 0 0.012390582 0 0 0 0.001145799 0.009656313
"102" "P00794" "B Train " "40.832584" "-73.92756" "SRR1749377" 0 0.237922334 0.61157266 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.093656627 0 0 0 0 0 0 0 0 0 0 0.056848379 0 0 0 0
"103" "P00800" "F Train" "40.761906" "-73.959081" "SRR1749383" 0 0 0 0 0 0 0 0.981775701 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.018224299 0 0 0 0 0 0 0 0
"104" "P00857" "Sutphin Blvd" "40.70546" "-73.810708" "SRR1749440" 0 0 0 0 0 0 0.248968443 0.335444877 0 0 0 0 0 0.073807171 0 0 0 0 0.341779508 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"105" "P00883" "67 Av" "40.726523" "-73.852719" "SRR1749465" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"106" "P00903" "52 St" "40.744149" "-73.912549" "SRR1749483" 0 0 0 0.005046882 0 0 0 0.978594155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.006187711 0 0.010171253 0 0 0 0 0 0 0 0
